yearID,teamID,lgID,divID,G,W,R,RA,payroll,log_payroll,payroll_z_by_year,W_pct,pythag_win_pct
2010,ATL,NL,E,162,91,738.0,629.0,84423666,18.251358323104256,0.019019818140557213,0.5617283950617284,0.5792328921550381
2011,ATL,NL,E,162,89,641.0,605.0,87002692,18.281449618668884,0.06455763560996675,0.5493827160493827,0.5288683573044873
2012,ATL,NL,E,162,94,700.0,600.0,82829942,18.232300172344818,-0.31550103374012173,0.5802469135802469,0.5764705882352941
2013,ATL,NL,E,162,96,688.0,548.0,87871525,18.29138636250522,-0.04304639633793051,0.5925925925925926,0.6118338055549811
2014,ATL,NL,E,162,79,573.0,597.0,97609000,18.396480260246708,-0.025610575685008737,0.4876543209876543,0.47949580715543755
2015,ATL,NL,E,162,67,573.0,760.0,71781250,18.089133857853646,-1.337722590311418,0.41358024691358025,0.36242244149375946
2016,ATL,NL,E,161,68,649.0,779.0,68498291,18.042319354016115,-1.4108644147481484,0.422360248447205,0.4097118600212832
1985,BAL,AL,E,161,83,818.0,764.0,11560712,16.263123011007316,0.6431688906406244,0.515527950310559,0.5340942832968822
1986,BAL,AL,E,162,73,708.0,760.0,13001258,16.38055667997474,0.4732264838481553,0.4506172839506173,0.46462204689376974
1987,BAL,AL,E,162,67,729.0,880.0,13900273,16.44741903819582,0.658209115642934,0.41358024691358025,0.40697221177769727
1988,BAL,AL,E,161,54,550.0,789.0,13532075,16.42057335128535,0.6488430326835206,0.33540372670807456,0.32701960279820674
1989,BAL,AL,E,162,87,708.0,686.0,8275167,15.928769660292645,-1.8016522806689053,0.5370370370370371,0.5157779927150001
1990,BAL,AL,E,161,76,669.0,698.0,9680084,16.08558113690106,-2.3020296296440863,0.4720496894409938,0.47879520521200514
1991,BAL,AL,E,162,67,686.0,796.0,17519000,16.678796564217958,-0.8402022817754708,0.41358024691358025,0.42618265333106325
1992,BAL,AL,E,162,89,705.0,656.0,23780667,16.984383497614036,-0.5940483031553238,0.5493827160493827,0.5359563320001596
1993,BAL,AL,E,162,85,786.0,745.0,29096500,17.186128449994023,-0.15559459019450006,0.5246913580246914,0.5267606906765824
1994,BAL,AL,E,112,63,589.0,497.0,38849769,17.475212688814306,0.7012411871653291,0.5625,0.5841109221625445
1995,BAL,AL,E,144,71,704.0,640.0,43942521,17.59839299696633,0.951619888570364,0.4930555555555556,0.5475113122171946
1996,BAL,AL,E,163,88,949.0,903.0,54490315,17.813533537419797,1.6158435000076705,0.5398773006134969,0.5248226991684197
1997,BAL,AL,E,162,98,812.0,681.0,58516400,17.884817614793985,1.1046191916440562,0.6049382716049383,0.5870724464765094
1998,BAL,AL,E,162,79,817.0,785.0,72355634,18.097103879468133,1.396090492121221,0.4876543209876543,0.5199670643149487
1999,BAL,AL,E,162,78,851.0,815.0,80605863,18.205081946766775,1.2649524410922461,0.48148148148148145,0.5215985583675328
2000,BAL,AL,E,162,74,794.0,913.0,81447435,18.215468400803747,1.050483621739647,0.4567901234567901,0.43062421234900156
2001,BAL,AL,E,162,63,687.0,829.0,67599540,18.02911173625631,0.27300721452496163,0.3888888888888889,0.40714710880685984
2002,BAL,AL,E,162,67,667.0,773.0,60493487,17.91804626431352,-0.12727881079460643,0.41358024691358025,0.4267856080766065
2003,BAL,AL,E,163,71,743.0,820.0,73877500,18.11791887406549,0.2911514129888833,0.43558282208588955,0.4508550376536712
2004,BAL,AL,E,162,78,842.0,830.0,51623333,17.759484318167218,-0.44411345957266296,0.48148148148148145,0.5071766638242347
2005,BAL,AL,E,162,74,729.0,800.0,73914333,18.11841731839783,0.24442792934726437,0.4567901234567901,0.4536643330735393
2006,BAL,AL,E,162,70,768.0,899.0,72585582,18.100276865031095,0.05409107293928488,0.43209876543209874,0.4218980347275621
2007,BAL,AL,E,162,69,756.0,868.0,93174808,18.34998794268889,0.47621074646549366,0.42592592592592593,0.43136094674556213
2008,BAL,AL,E,161,68,782.0,869.0,67196246,18.02312794083774,-0.4489367050844906,0.422360248447205,0.4474505829799844
2009,BAL,AL,E,162,64,741.0,876.0,67101666,18.021719430247693,-0.606324971010838,0.3950617283950617,0.4170899619205185
2010,BAL,AL,E,162,66,613.0,785.0,81612500,18.217492994477027,-0.06600027492681308,0.4074074074074074,0.37880168630052197
2011,BAL,AL,E,162,69,708.0,860.0,85304038,18.26173235014568,0.019312231964564584,0.42592592592592593,0.4039636898161281
2012,BAL,AL,E,162,93,712.0,705.0,77353999,18.16390283371159,-0.5190678576349629,0.5740740740740741,0.5049398935624506
2013,BAL,AL,E,162,85,745.0,709.0,84393333,18.250998963555087,-0.12144854266662744,0.5246913580246914,0.5247441160398069
2014,BAL,AL,E,162,96,705.0,593.0,103416000,18.45427024694592,0.11984729858386252,0.5925925925925926,0.5856489064116492
2015,BAL,AL,E,162,81,713.0,693.0,115044833,18.560832462528822,0.10997154169451424,0.5,0.5142218733626133
2016,BAL,AL,E,162,89,744.0,715.0,161863456,18.902263673589378,0.868303508561902,0.5493827160493827,0.5198687780638096
1985,BOS,AL,E,163,81,800.0,720.0,10897560,16.204049468929494,0.4194603541812044,0.49693251533742333,0.5524861878453039
1986,BOS,AL,E,161,95,794.0,696.0,14402239,16.482894238570626,0.8461445750378284,0.5900621118012422,0.5654885132735108
1987,BOS,AL,E,162,78,842.0,825.0,10144167,16.132409418457385,0.14642870593820997,0.48148148148148145,0.5101968999466748
1988,BOS,AL,E,162,89,813.0,689.0,13896092,16.44711820749141,0.7333189608532261,0.5493827160493827,0.5819977282533085
1989,BOS,AL,E,162,83,774.0,735.0,17481748,16.676667923191996,1.001890454138151,0.5123456790123457,0.525827678550269
1990,BOS,AL,E,162,88,699.0,664.0,20558333,16.838776915497558,0.9008761525575583,0.5432098765432098,0.5256617288705612
1991,BOS,AL,E,162,84,731.0,712.0,35167500,17.375632918613988,1.4692217968558428,0.5185185185185185,0.5131647307945318
1992,BOS,AL,E,162,73,599.0,669.0,43610584,17.59081043115327,1.114948927340737,0.4506172839506173,0.44496268425347424
1993,BOS,AL,E,162,80,686.0,698.0,37120583,17.429682171577905,0.5679236657732049,0.49382716049382713,0.49133013155147215
1994,BOS,AL,E,115,54,552.0,621.0,37859084,17.44938150905234,0.6083572383233786,0.46956521739130436,0.4413793103448276
1995,BOS,AL,E,144,86,791.0,698.0,32455518,17.295381032883114,-0.003645602535912933,0.5972222222222222,0.562215323236453
1996,BOS,AL,E,162,85,928.0,921.0,42393500,17.56250560656346,0.829441922709335,0.5246913580246914,0.5037857759188031
1997,BOS,AL,E,162,78,851.0,857.0,43558750,17.589621159565873,0.365253336779852,0.48148148148148145,0.496487162787509
1998,BOS,AL,E,162,92,876.0,729.0,56757000,17.854289554736667,0.841149468677525,0.5679012345679012,0.5908268832329727
1999,BOS,AL,E,162,94,836.0,718.0,63497500,17.966511093009156,0.7416134069680533,0.5802469135802469,0.5754977684820738
2000,BOS,AL,E,162,85,792.0,745.0,77940333,18.17145413038303,0.9524280173937727,0.5246913580246914,0.5305504830037326
2001,BOS,AL,E,161,82,772.0,745.0,110035833,18.51631662525565,1.5016392252131805,0.5093167701863354,0.5177926497533902
2002,BOS,AL,E,162,93,859.0,665.0,108366060,18.501025498312902,1.506011727837273,0.5740740740740741,0.6252667133291416
2003,BOS,AL,E,162,95,961.0,809.0,99946500,18.4201456007888,1.0422352867750302,0.5864197530864198,0.5852470402445624
2004,BOS,AL,E,162,98,949.0,768.0,127298500,18.662045280268895,1.6252378201193611,0.6049382716049383,0.6042578459164333
2005,BOS,AL,E,162,95,910.0,805.0,123505125,18.631793211147,1.5165947790503105,0.5864197530864198,0.5609958506224066
2006,BOS,AL,E,162,86,820.0,825.0,120099824,18.603833821603676,1.1763399565313601,0.5308641975308642,0.496960514402912
2007,BOS,AL,E,162,96,867.0,657.0,143026214,18.77853848610941,1.4547797481952698,0.5925925925925926,0.6352276357219999
2008,BOS,AL,E,162,95,845.0,694.0,133390035,18.708787988505676,1.1121700398359151,0.5864197530864198,0.597180137179351
2009,BOS,AL,E,162,95,872.0,736.0,121345999,18.61415651884756,1.0545123722477516,0.5864197530864198,0.5839764069796018
2010,BOS,AL,E,162,89,818.0,744.0,162447333,18.90586440258543,1.6621802434584843,0.5493827160493827,0.5472690690788936
2011,BOS,AL,E,162,90,875.0,737.0,161762475,18.901639613564488,1.4877135166018811,0.5555555555555556,0.5849851084280643
2012,BOS,AL,E,162,69,734.0,806.0,173186617,18.969880282054085,1.8797136237579561,0.42592592592592593,0.4533487266827781
2013,BOS,AL,E,162,97,853.0,656.0,151530000,18.836294183112344,1.0147573691295892,0.5987654320987654,0.6283623142722669
2014,BOS,AL,E,162,71,634.0,715.0,139019929,18.750127854918603,0.8645233436912699,0.4382716049382716,0.4401712256387288
2015,BOS,AL,E,162,78,748.0,753.0,181103400,19.014578696835333,1.5025679036822157,0.48148148148148145,0.4966689243710459
2016,BOS,AL,E,162,93,878.0,694.0,188545761,19.054851299315676,1.2727166945481712,0.5740740740740741,0.6154664196978891
1985,CAL,AL,W,162,90,732.0,703.0,14427894,16.48467397415296,1.4821712590984721,0.5555555555555556,0.520200809100291
1986,CAL,AL,W,162,92,786.0,684.0,14427258,16.484629891903793,0.8524692962531117,0.5679012345679012,0.5690552773817025
1987,CAL,AL,W,162,75,770.0,803.0,12843499,16.368348326890747,0.5297468767406546,0.46296296296296297,0.47903020823149867
1988,CAL,AL,W,162,75,714.0,771.0,11947388,16.296023235044412,0.2524767238430514,0.46296296296296297,0.46167263006039466
1989,CAL,AL,W,162,91,669.0,578.0,15097833,16.530061781552842,0.45232829620884846,0.5617283950617284,0.5725885792143492
1990,CAL,AL,W,162,80,690.0,706.0,21720000,16.89374405303001,1.1346195797469918,0.49382716049382713,0.48854018733017557
1991,CAL,AL,W,162,81,653.0,649.0,33060001,17.313834680605186,1.2644128227342017,0.5,0.5030721676242612
1992,CAL,AL,W,162,72,579.0,671.0,34749334,17.363670964323788,0.47483764883529134,0.4444444444444444,0.4267965402135249
1993,CAL,AL,W,162,71,684.0,770.0,28588334,17.168509290477488,-0.20793533654860433,0.4382716049382716,0.44105901828507216
1994,CAL,AL,W,115,47,543.0,660.0,25156218,17.040615660532612,-0.8614860484376741,0.40869565217391307,0.40365446458274296
1995,CAL,AL,W,145,78,801.0,697.0,31223171,17.256671037400455,-0.1256814533556802,0.5379310344827586,0.5690928765932536
1996,CAL,AL,W,161,70,762.0,943.0,28738000,17.17373084677129,-0.3884826455703325,0.43478260869565216,0.39502467186387036
1985,CHA,AL,W,163,85,736.0,720.0,9846178,16.102593917544347,0.03525327741315129,0.5214723926380368,0.5109876841342671
1986,CHA,AL,W,162,72,644.0,699.0,10418819,16.159124248134777,-0.33367335763944295,0.4444444444444444,0.4591154796050643
1987,CHA,AL,W,162,77,748.0,746.0,10641843,16.180304241163626,0.22424103436071238,0.47530864197530864,0.5013386856866364
1988,CHA,AL,W,161,71,631.0,757.0,6390000,15.670244826353718,-1.7389905303903892,0.4409937888198758,0.4099638595154498
1989,CHA,AL,W,161,69,693.0,750.0,7265410,15.798635288356275,-2.2894689946381774,0.42857142857142855,0.4605604992188916
1990,CHA,AL,W,162,94,682.0,633.0,9491500,16.065907219212733,-2.385691416543528,0.5802469135802469,0.5372106909921658
1991,CHA,AL,W,162,87,758.0,681.0,16919667,16.64398723109762,-0.9555658266911009,0.5370370370370371,0.5533566079984591
1992,CHA,AL,W,162,86,738.0,690.0,30160833,17.222054720086017,0.07574295859270193,0.5308641975308642,0.5335755096282712
1993,CHA,AL,W,162,94,776.0,664.0,39696166,17.496765166686515,0.7672052505933127,0.5802469135802469,0.5773100993986993
1994,CHA,AL,C,113,67,633.0,498.0,39183836,17.48377487278354,0.7320291521402987,0.5929203539823009,0.6176866406759438
1995,CHA,AL,C,145,68,755.0,758.0,46961282,17.664834032941123,1.1610797000075166,0.4689655172413793,0.4980171921973739
1996,CHA,AL,C,162,85,898.0,794.0,45139500,17.625268252641895,1.0260600587993225,0.5246913580246914,0.5612343754349823
1997,CHA,AL,C,161,80,779.0,833.0,57740000,17.871460732199065,1.0711647827471666,0.4968944099378882,0.46653878975652135
1998,CHA,AL,C,163,80,861.0,931.0,38335000,17.461873874975133,-0.05569860312817941,0.49079754601226994,0.46099701383387165
1999,CHA,AL,C,162,75,777.0,870.0,25620000,17.058883854432864,-1.2493957833830407,0.46296296296296297,0.44371316501412217
2000,CHA,AL,C,162,95,978.0,839.0,31133500,17.25379496783569,-1.0919458392441763,0.5864197530864198,0.5760546372722318
2001,CHA,AL,C,162,83,798.0,795.0,65653667,17.999904013969598,0.19935125710127377,0.5123456790123457,0.5018832324923217
2002,CHA,AL,C,162,81,856.0,798.0,57052833,17.859488291233998,-0.2913364269400675,0.5,0.5350234385268047
2003,CHA,AL,C,162,86,791.0,715.0,51010000,17.74753224989911,-0.6293211854922806,0.5308641975308642,0.5503366153402304
2004,CHA,AL,C,162,83,865.0,831.0,65212500,17.993161726312785,0.09165161767501624,0.5123456790123457,0.5200391163105562
2005,CHA,AL,C,162,99,741.0,645.0,75178000,18.135369192926547,0.28643538065213786,0.6111111111111112,0.5689333606878415
2006,CHA,AL,C,162,90,868.0,794.0,102750667,18.447815902803733,0.8286316528166477,0.5555555555555556,0.544436575954215
2007,CHA,AL,C,162,72,693.0,839.0,108671833,18.50384319247753,0.8275298160782832,0.4444444444444444,0.4055574790781729
2008,CHA,AL,C,163,89,811.0,729.0,121189332,18.612864607923537,0.8937722537440147,0.5460122699386503,0.5530962139725285
2009,CHA,AL,C,162,79,724.0,732.0,96068500,18.380572036648957,0.39968194669486656,0.4876543209876543,0.4945056603773585
2010,CHA,AL,C,162,88,752.0,704.0,105530000,18.474505830647274,0.5792394477178381,0.5432098765432098,0.5329312424607962
2011,CHA,AL,C,162,79,654.0,706.0,127789000,18.66589102421582,0.9467389860089157,0.4876543209876543,0.46182052190137257
2012,CHA,AL,C,162,85,748.0,676.0,96919500,18.38939129500536,0.1520396855495848,0.5246913580246914,0.5504328663623484
2013,CHA,AL,C,162,63,598.0,723.0,120065277,18.603546127845554,0.5629345837782236,0.3888888888888889,0.4062144665711725
2014,CHA,AL,C,162,73,660.0,758.0,81830500,18.22016059271342,-0.4694086364922401,0.4506172839506173,0.431217109301064
2015,CHA,AL,C,162,76,622.0,701.0,112373700,18.5373404822798,0.037872108669627896,0.4691358024691358,0.44049938231895114
2016,CHA,AL,C,162,78,686.0,715.0,112998667,18.54288658014686,-0.08417762899947534,0.48148148148148145,0.4793093649453414
1985,CHN,NL,E,162,77,686.0,729.0,12702917,16.357342210094618,0.9999722647540605,0.47530864197530864,0.4696393446549379
1986,CHN,NL,E,160,70,680.0,781.0,17208165,16.66089453844719,1.4947777159092146,0.4375,0.43119807602104143
1987,CHN,NL,E,161,76,720.0,801.0,14307999,16.476329309470074,0.7051781907133943,0.4720496894409938,0.446896166468822
1988,CHN,NL,E,163,77,660.0,694.0,13119198,16.38958721156304,0.5502332344944293,0.4723926380368098,0.4749050407964799
1989,CHN,NL,E,162,93,702.0,623.0,10668000,16.182759164284043,-0.8495569704433211,0.5740740740740741,0.5594114421868632
1990,CHN,NL,E,162,77,690.0,774.0,13624000,16.42734350132466,-0.8487120669899358,0.47530864197530864,0.4428112234648095
1991,CHN,NL,E,160,77,695.0,734.0,23175667,16.958613450016053,0.08715440619446713,0.48125,0.472728500529957
1992,CHN,NL,E,162,78,593.0,624.0,29829686,17.211014630119738,0.0446304170261787,0.48148148148148145,0.47454404372322123
1993,CHN,NL,E,163,84,738.0,739.0,39386666,17.488937890593085,0.7439529795490967,0.5153374233128835,0.4993229522399417
1994,CHN,NL,C,113,49,500.0,549.0,36287333,17.40697928516871,0.45588700543873006,0.4336283185840708,0.45339054517492716
1995,CHN,NL,C,144,73,693.0,671.0,29505834,17.200098564469446,-0.30402995949814965,0.5069444444444444,0.5161248374512354
1996,CHN,NL,C,162,76,772.0,771.0,33081000,17.314469657408925,0.052413402510741364,0.4691358024691358,0.5006480878677784
1997,CHN,NL,C,162,68,687.0,759.0,42155333,17.556871758726523,0.2832273221748818,0.41975308641975306,0.4503306139974238
1998,CHN,NL,C,163,90,831.0,792.0,50838000,17.744154664408658,0.5894412186676592,0.5521472392638037,0.5240157077001878
1999,CHN,NL,C,162,67,747.0,920.0,62343000,17.94816195434096,0.7013619665411324,0.41358024691358025,0.3973265622763739
2000,CHN,NL,C,162,65,764.0,904.0,60539333,17.91880384398807,0.38957019233358564,0.4012345679012346,0.41665429377434127
2001,CHN,NL,C,162,88,777.0,701.0,64715833,17.985516443598442,0.16306871989123498,0.5432098765432098,0.5512852355428123
2002,CHN,NL,C,162,67,706.0,759.0,75690833,18.14216761464162,0.5006256833072822,0.41358024691358025,0.4638698131346456
2003,CHN,NL,C,162,88,724.0,683.0,79868333,18.19588999925971,0.4849226766665407,0.5432098765432098,0.5291152912437606
2004,CHN,NL,C,162,89,789.0,665.0,90560000,18.32152317241915,0.8445040090741234,0.5493827160493827,0.5846662020801205
2005,CHN,NL,C,162,79,703.0,714.0,87032933,18.281797145220466,0.6492899466908265,0.4876543209876543,0.4922375884582248
2006,CHN,NL,C,162,66,716.0,834.0,94424499,18.363311120750467,0.6403006287296044,0.4074074074074074,0.42430964102326413
2007,CHN,NL,C,162,85,752.0,690.0,99670332,18.417378617930364,0.6300932389962126,0.5246913580246914,0.5429165018567517
2008,CHN,NL,C,161,97,855.0,671.0,118345833,18.589121684178934,0.8397145052607882,0.6024844720496895,0.6188487605670526
2009,CHN,NL,C,161,83,707.0,672.0,134809000,18.719369519792394,1.3494663586338058,0.515527950310559,0.5253643714271
2010,CHN,NL,C,162,75,685.0,767.0,146609000,18.803279737074053,1.4046378494345972,0.46296296296296297,0.4437057098062059
2011,CHN,NL,C,162,71,654.0,756.0,125047329,18.644202855603567,0.8969709391805091,0.4382716049382716,0.4280361710559499
2012,CHN,NL,C,162,61,613.0,759.0,88197033,18.295083880955417,-0.1286417142169832,0.3765432098765432,0.3947775384777013
2013,CHN,NL,C,162,66,602.0,689.0,100567726,18.426341949048393,0.2189364973140426,0.4074074074074074,0.43291503658354485
2014,CHN,NL,C,162,73,614.0,707.0,65522500,17.99790415306931,-1.0288299324594234,0.4506172839506173,0.4299459995780326
2015,CHN,NL,C,162,97,689.0,608.0,115879310,18.568059776412074,0.13215295116922365,0.5987654320987654,0.5622091818305631
2016,CHN,NL,C,162,103,808.0,556.0,154067668,18.852902466466254,0.7374782011900081,0.6358024691358025,0.6786528066528067
1985,CIN,NL,W,162,89,677.0,666.0,8359917,15.938959056781934,-0.5844237205680356,0.5493827160493827,0.5081900685785882
1986,CIN,NL,W,162,86,732.0,717.0,11906388,16.29258562077526,0.15265992034285866,0.5308641975308642,0.5103508576424903
1987,CIN,NL,W,162,84,783.0,752.0,9281500,16.043533729631417,0.002036809341809532,0.5185185185185185,0.5201872062705276
1988,CIN,NL,W,161,87,641.0,596.0,8888409,16.000258626344557,-0.6887598624739726,0.5403726708074534,0.5363302558292227
1989,CIN,NL,W,162,75,632.0,691.0,11072000,16.21992995683959,-0.7102199635459726,0.46296296296296297,0.45549289831851797
1990,CIN,NL,W,162,91,693.0,597.0,14370000,16.48065325805521,-0.6220165212472265,0.5617283950617284,0.5740087347518341
1991,CIN,NL,W,162,74,689.0,691.0,26305333,17.085282252257187,0.50695452147492,0.4567901234567901,0.4985507276817314
1992,CIN,NL,W,162,90,660.0,609.0,35931499,17.397124878230578,0.5691155297372599,0.5555555555555556,0.5401243178698568
1993,CIN,NL,W,162,73,722.0,785.0,44879666,17.619495377083286,1.1317964676905157,0.4506172839506173,0.45826802249476706
1994,CIN,NL,C,115,66,609.0,490.0,40961833,17.528151288670795,0.8915981993554869,0.5739130434782609,0.607025423049162
1995,CIN,NL,C,144,85,747.0,623.0,43144670,17.58006944526857,0.8938536658262242,0.5902777777777778,0.5897754872967791
1996,CIN,NL,C,162,81,778.0,773.0,42526334,17.56563406553666,0.8392425256248982,0.5,0.5032236931260304
1997,CIN,NL,C,162,76,651.0,764.0,49768000,17.722882765176994,0.6990279441920758,0.4691358024691358,0.42064740639426224
1998,CIN,NL,C,162,77,750.0,760.0,23005000,16.951222141571705,-1.2227697628367107,0.47530864197530864,0.4933777738794843
1999,CIN,NL,C,163,96,865.0,711.0,33962761,17.340775217633844,-0.631027062217151,0.588957055214724,0.5967915351275298
2000,CIN,NL,C,163,85,825.0,765.0,46867200,17.662828628408832,-0.18069495624815796,0.5214723926380368,0.5376821898329186
2001,CIN,NL,C,162,66,735.0,850.0,48986000,17.707045100965082,-0.5391795812729513,0.4074074074074074,0.427824744105011
2002,CIN,NL,C,162,78,709.0,774.0,45050390,17.623292199028874,-0.9530698475525415,0.48148148148148145,0.4562539652573117
2003,CIN,NL,C,162,69,694.0,886.0,59355667,17.899058158876095,-0.25275400386908004,0.42592592592592593,0.3802493541928516
2004,CIN,NL,C,162,76,750.0,907.0,46615250,17.657438298779102,-0.6780799944386868,0.4691358024691358,0.4060934960787612
2005,CIN,NL,C,163,73,820.0,889.0,61892583,17.940910908181536,-0.19544035016560923,0.44785276073619634,0.45969121930976586
